year,outcode,property_type,n_i,avg_price,sd,threshold
2012.0,B23,T,168,108652.04166666667,31409.866420142378,89050.0
2012.0,B24,D,31,202653.93548387097,43907.85935489263,185e3
2012.0,B24,F,20,70925.0,17847.50830316599,63e3
2012.0,B24,S,125,143265.848,43842.92282482419,12e4
2012.0,B24,T,81,119099.81481481482,33428.5680728741,1e5
2012.0,B25,D,2,127e3,89095.45442950499,101800.0
2012.0,B25,F,7,73285.71428571429,7204.495950776981,69800.0
2012.0,B25,S,28,125337.46428571429,26857.693429109106,112600.0
2012.0,B25,T,62,98809.7741935484,22516.319878395054,92e3
2012.0,B26,D,18,184055.0,42633.958848068796,160345.5
2012.0,B26,F,24,74847.91666666667,19386.663273042082,65399.99999999999
2012.0,B26,S,230,129736.10869565218,24969.122970808672,119995.0
2012.0,B26,T,58,114480.86206896552,30509.562437389894,1e5
2012.0,B27,D,16,229187.5,68048.72641472923,193750.0
2012.0,B27,F,27,89759.25925925926,19043.659539620232,79e3
2012.0,B27,S,67,139757.46268656716,34343.703112280935,120400.0
2012.0,B27,T,107,119531.02803738318,39740.9795611575,100800.0
2012.0,B28,D,36,238150.0,55580.4551978481,204750.0
2012.0,B28,F,37,102171.62162162163,26914.353720388423,85e3
2012.0,B28,S,152,184274.34210526315,49572.44848270995,158e3
2012.0,B28,T,81,152819.75308641975,54182.59792071871,123e3
2012.0,B29,D,23,344484.7826086957,143675.82468464982,262e3
2012.0,B29,F,13,91126.92307692308,32303.396463482335,74200.0
2012.0,B29,S,130,148693.1076923077,67579.58886675152,112700.0
2012.0,B29,T,192,147145.72916666666,52696.16392487661,115e3
2012.0,B3,F,50,139544.76,70555.12305487228,11e4
2012.0,B30,D,21,274700.0,116908.98169088636,22e4
2012.0,B30,F,50,89145.0,40390.065269184444,74400.0
2012.0,B30,S,92,175621.13043478262,69834.6716092659,125600.0
2012.0,B30,T,161,141697.3602484472,44451.10235198797,118e3
2012.0,B31,D,72,204531.65277777778,73778.16281700422,168615.30000000002
2012.0,B31,F,69,80698.1884057971,27313.821619269525,65e3
2012.0,B31,S,257,141728.41245136186,53242.41054205962,117e3
2012.0,B31,T,167,124012.99401197604,48936.80566781861,96400.0
2012.0,B32,D,26,184846.15384615384,49976.748439803334,163e3
2012.0,B32,F,18,66836.38888888889,20610.96394451803,59100.0
2012.0,B32,S,128,137327.3046875,42242.68352948918,115e3
2012.0,B32,T,122,110469.11475409837,37419.64565411176,9e4
2012.0,B33,D,12,147623.75,65440.30680791187,118850.0
2012.0,B33,F,18,65172.22222222222,17644.489409896443,59100.0
2012.0,B33,S,83,116255.01204819277,38143.02863948452,92e3
2012.0,B33,T,96,96948.85416666667,24432.907904570955,83650.0
2012.0,B34,D,5,150200.0,34715.99055190562,131200.0
2012.0,B34,F,15,89853.33333333333,40154.15592557311,61e3
2012.0,B34,S,77,129174.02597402598,30805.325294062397,115800.0
2012.0,B34,T,110,116741.40909090909,28401.630655891546,96550.0
2012.0,B35,D,1,157e3,NA,157e3
2012.0,B35,F,6,65883.33333333333,13773.222813367489,61e3
2012.0,B35,S,7,118e3,27922.511825884623,107600.0
2012.0,B35,T,28,91300.0,17227.16954030378,82200.0
2012.0,B36,D,53,233986.45283018867,59510.56089325208,205600.00000000003
2012.0,B36,F,27,87905.55555555556,26397.706534023182,75e3
2012.0,B36,S,126,158883.0158730159,47932.3799454163,133497.5
2012.0,B36,T,93,115792.95698924731,43204.7020151224,87e3
2012.0,B37,D,28,244633.32142857142,63695.520861217126,200250.0
2012.0,B37,F,38,66043.65789473684,18957.355737430167,58e3
2012.0,B37,S,55,142556.2,39207.48696566721,12e4
2012.0,B37,T,89,97028.24719101124,29887.745861610278,82700.0
2012.0,B38,D,30,279503.3333333333,91780.10070302534,2e5
2012.0,B38,F,25,71437.8,18572.29209063868,62500.0
2012.0,B38,S,62,160591.93548387097,49884.464214452404,132900.0
2012.0,B38,T,65,104574.61538461539,34415.35713152465,88e3
2012.0,B4,F,3,98666.66666666667,16802.777548171416,90600.0
2012.0,B4,O,1,366458.0,NA,366458.0
2012.0,B42,D,5,191501.0,26731.161684446113,171404.0
2012.0,B42,F,6,65333.333333333336,8908.797150382687,63250.0
2012.0,B42,S,137,123590.1897810219,31525.842068460006,109e3
2012.0,B42,T,59,112763.05084745762,27434.889959385233,100400.0
2012.0,B43,D,36,220795.69444444444,65192.74825089036,176500.0
2012.0,B43,F,25,90650.0,27501.704492630997,71e3
2012.0,B43,S,144,140183.57638888888,28415.904746102646,125e3
2012.0,B43,T,58,123783.44827586207,29416.546441882892,105199.99999999999
2012.0,B44,D,4,146162.25,18436.91225729876,142684.9
2012.0,B44,F,15,60966.666666666664,12210.163604067524,53800.0
2012.0,B44,S,154,107575.22727272728,21716.55998454609,97950.0
2012.0,B44,T,121,96682.23140495867,19561.75675851581,85e3
2012.0,B45,D,98,374285.85714285716,179168.8305897167,251498.59999999998
2012.0,B45,F,32,103684.375,57685.707736111974,68550.0
2012.0,B45,S,112,158814.2857142857,60976.55155159923,122950.0
2012.0,B45,T,103,140066.50485436892,59475.7144326324,103e3
2012.0,B46,D,32,278408.875,121549.15962017576,220500.19999999998
2012.0,B46,F,15,99333.33333333333,15650.954633899522,100400.0
2012.0,B46,S,48,179883.6875,44371.901127952326,155300.0
2012.0,B46,T,40,162901.25,35107.495159098915,143500.0
2012.0,B47,D,59,324117.10169491527,69677.33412263816,270800.0
2012.0,B47,F,1,111500.0,NA,111500.0
2012.0,B47,S,49,199941.83673469388,28958.268010008054,180800.0
2012.0,B47,T,25,194617.96,55261.49715857024,151960.0
2012.0,B48,D,27,356573.8888888889,109940.22285151611,275800.0
2012.0,B48,F,1,45e3,NA,45e3
2012.0,B48,S,37,227360.8108108108,45727.159880242005,212e3
2012.0,B48,T,17,188844.11764705883,49571.94545037842,154e3
2012.0,B49,D,36,388234.72222222225,203374.25522541456,256500.0
2012.0,B49,F,10,104495.0,22371.738744327504,84250.0
2012.0,B49,S,31,209701.61290322582,80008.59795866834,164e3
2012.0,B49,T,28,202748.2142857143,109730.98880489744,145200.0
2012.0,B5,D,1,279950.0,NA,279950.0
2012.0,B5,F,124,114065.14516129032,28518.291149586403,97249.99999999999
2012.0,B5,S,2,323750.0,266932.8098979217,248250.00000000003
2012.0,B5,T,13,171192.3076923077,35071.86007657377,151900.0
2012.0,B50,D,35,264148.5714285714,69734.25237128102,219200.0
2012.0,B50,F,3,99916.66666666667,14125.184364578516,93450.0
2012.0,B50,S,17,213273.5294117647,52716.192121251566,182930.0
2012.0,B50,T,14,162821.42857142858,61923.52825581204,143300.0
2012.0,B6,F,3,52500.0,13919.410907075055,46e3
2012.0,B6,S,11,115863.63636363637,21519.863973885742,102e3
2012.0,B6,T,47,97892.55319148937,24571.882080778316,84e3
2012.0,B60,D,141,297142.5035460993,138609.77224628162,23e4
2012.0,B60,F,30,113274.96666666666,54933.979278254345,82050.0
2012.0,B60,S,96,189986.97916666666,66615.21489111199,157500.0
2012.0,B60,T,65,151318.38461538462,42017.90690723879,129e3
2012.0,B61,D,81,271073.4567901235,102980.84715325096,215e3
2012.0,B61,F,23,98489.13043478261,25418.818889848928,9e4
2012.0,B61,S,94,158626.59574468085,40438.3632278125,137800.0
2012.0,B61,T,90,135514.72222222222,53269.074087461435,12e4
2012.0,B62,D,63,223518.80952380953,94132.93983439782,157900.0
2012.0,B62,F,12,114504.16666666667,91001.77435416332,70015.0
2012.0,B62,S,96,165161.91666666666,66228.67368311522,126499.5
2012.0,B62,T,63,123977.55555555556,40190.508033926235,1e5
2012.0,B63,D,52,220207.11538461538,66924.79354122389,176e3
2012.0,B63,F,48,85037.8125,22138.627091008468,8e4
2012.0,B63,S,181,144253.06077348065,39590.49228527894,125e3
2012.0,B63,T,118,117479.50847457627,36513.69687340869,100050.0
2012.0,B64,D,28,192247.57142857142,48802.9134903118,166778.8
2012.0,B64,F,19,111066.36842105263,49442.0506330509,83200.0
2012.0,B64,S,49,115601.02040816327,40235.839240082234,90400.0
2012.0,B64,T,43,102343.02325581395,36077.91928160384,83600.0
2012.0,B65,D,35,176032.85714285713,41271.77846275821,156300.0
2012.0,B65,F,18,81082.55555555556,22699.838543665828,67999.59999999999
2012.0,B65,S,85,115752.16470588236,28551.199797092613,103390.0
2012.0,B65,T,82,93562.13414634146,25387.282577808244,79150.0
2012.0,B66,D,2,146500.0,37476.65940288702,135900.0
2012.0,B66,F,21,70809.04761904762,18820.380350769192,59500.0
2012.0,B66,S,33,140228.0606060606,35335.263849428266,131e3
2012.0,B66,T,77,98856.87012987013,35645.794314687635,75135.2
2012.0,B67,D,5,172100.0,38455.16870330957,154700.0
2012.0,B67,F,3,85333.33333333333,12662.279942148385,82400.0
2012.0,B67,S,66,130567.42424242424,44700.99421749626,110750.0
2012.0,B67,T,165,114332.6909090909,39399.657613595,9e4
2012.0,B68,D,15,214366.0,77440.56278850252,164599.0
2012.0,B68,F,19,77177.36842105263,22302.837286394566,72300.0
2012.0,B68,S,141,125794.3475177305,31299.945509305788,109e3
2012.0,B68,T,112,113455.40178571429,42956.417660094354,86300.0
2012.0,B69,D,53,178400.54716981133,35510.59643725325,155600.0
2012.0,B69,F,22,49317.954545454544,17981.029597294695,40300.0
2012.0,B69,S,111,104667.65765765766,26015.20743910988,9e4
2012.0,B69,T,62,102493.46774193548,28509.819240140754,83585.0
2012.0,B7,D,1,189e3,NA,189e3
2012.0,B7,F,2,48750.0,1767.7669529663688,48250.0
2012.0,B7,T,10,96700.0,24537.04682040336,83500.0
2012.0,B70,D,17,170235.29411764705,44172.28969015064,132400.0
2012.0,B70,F,6,78866.66666666667,26608.977181896087,57500.0
2012.0,B70,S,40,127325.0,52206.34110222676,11e4
2012.0,B70,T,85,101071.70588235294,31636.650682405692,83e3
2012.0,B71,D,31,213706.4516129032,85513.45580466218,16e4
2012.0,B71,F,36,79077.36111111111,36782.319228636225,55067.5
2012.0,B71,S,120,119747.275,39747.743782268764,94700.0
2012.0,B71,T,47,101714.87234042553,32375.1303523426,82400.0
2012.0,B72,D,42,325366.64285714284,85370.03516509087,255399.99999999997
2012.0,B72,F,45,103564.44444444444,72969.71166660226,67600.0
2012.0,B72,S,28,243133.39285714287,67170.4663945008,216395.0
2012.0,B72,T,21,174163.09523809524,35857.9973812046,151500.0
2012.0,B73,D,95,313381.05263157893,122005.18043129017,25e4
2012.0,B73,F,57,123296.05263157895,58944.58728586328,91800.0
2012.0,B73,S,126,220690.45238095237,59934.37386470066,187500.0
2012.0,B73,T,51,184772.45098039217,46657.36368862421,155e3
2012.0,B74,D,171,433471.05263157893,252543.07762078848,284e3
2012.0,B74,F,98,156731.9387755102,72058.70141363147,118043.5
2012.0,B74,S,138,223827.0579710145,74568.52397997,18e4
2012.0,B74,T,26,182445.1923076923,38319.48069796274,158562.5
2012.0,B75,D,125,314551.192,98609.51895847022,263e3
2012.0,B75,F,31,112903.2258064516,31682.03206730873,101e3
2012.0,B75,S,114,193087.9298245614,48546.48216226708,167500.0
2012.0,B75,T,60,186044.16666666666,57937.810092174164,157e3
2012.0,B76,D,88,282743.125,111075.56935551067,236e3
2012.0,B76,F,28,104780.32142857143,29815.9733837214,98e3
2012.0,B76,S,90,184219.98888888888,46765.04774239184,16e4
2012.0,B76,T,43,162710.46511627908,36430.68035608294,142200.0
2012.0,B77,D,153,206363.6209150327,48161.840300371696,18e4
2012.0,B77,F,36,96041.94444444444,22421.17670155917,8e4
2012.0,B77,S,174,132043.0747126437,27705.99903529051,119450.0
2012.0,B77,T,130,110223.46153846153,30866.417106284454,93e3
2012.0,B78,D,55,234766.34545454546,90429.96785997567,186700.0
2012.0,B78,F,26,109517.30769230769,28089.28244832072,96250.0
2012.0,B78,S,121,140428.57024793388,51005.81635801066,118e3
2012.0,B78,T,64,130698.828125,44394.523578876106,104925.0
2012.0,B79,D,61,248182.131147541,109218.19325116664,193500.0
2012.0,B79,F,33,101059.09090909091,30507.180134727743,87500.0
2012.0,B79,O,1,41e4,NA,41e4
2012.0,B79,S,83,148637.48192771085,47583.87764788421,123900.0
2012.0,B79,T,54,122431.48148148147,56668.51751201088,102450.0
2012.0,B8,D,5,167800.0,54897.176612281255,133800.00000000003
2012.0,B8,F,4,58750.0,14728.091073410249,52600.0
2012.0,B8,S,58,126601.9827586207,33740.53530627639,103200.0
2012.0,B8,T,135,99789.17777777778,25747.74160908407,85800.0
2012.0,B80,D,29,289929.3103448276,86026.95955882643,249380.0
2012.0,B80,F,4,107750.0,23627.31470142132,88800.0
2012.0,B80,S,36,169400.0,44432.70835126497,155e3
2012.0,B80,T,13,178807.6923076923,103028.2199330072,131600.0
2012.0,B9,D,1,134500.0,NA,134500.0
2012.0,B9,F,2,62e3,24041.630560342615,55200.0
2012.0,B9,S,19,117447.36842105263,35972.17085502892,94800.0
2012.0,B9,T,62,100991.93548387097,28160.763882075342,85e3
2012.0,B90,D,149,323136.40939597314,118185.21940226847,25e4
2012.0,B90,F,123,130485.73170731707,36646.85788021945,118e3
2012.0,B90,S,275,203536.04727272727,43294.09814435213,179960.0
2012.0,B90,T,82,198426.8536585366,45119.11180697072,170300.0
2012.0,B91,D,200,435356.05,214195.87777503216,34e4
2012.0,B91,F,162,156186.08024691357,54802.69389273078,129874.6
2012.0,B91,S,94,279536.170212766,114242.64485495156,213500.0
2012.0,B91,T,29,215978.9655172414,51779.858439001684,194e3
2012.0,B92,D,71,353193.661971831,149432.23378832903,275e3
2012.0,B92,F,71,122419.3661971831,40716.2825444,102e3
2012.0,B92,S,249,193724.85542168675,61683.83336897858,16e4
2012.0,B92,T,95,179862.63157894736,42108.60323503234,156e3
2012.0,B93,D,149,489454.9731543624,213025.28804983568,365e3
2012.0,B93,F,30,188153.33333333334,93851.08613018868,149400.0
2012.0,B93,O,1,104028.0,NA,104028.0
2012.0,B93,S,50,261166.0,76522.54332374672,215800.0
2012.0,B93,T,37,255497.2972972973,94942.68808218077,213e3
2012.0,B94,D,39,465505.3846153846,219536.51380562442,35e4
2012.0,B94,F,2,165e3,77781.74593052022,143e3
2012.0,B94,S,20,259949.95,74012.07934873662,24e4
2012.0,B94,T,12,263029.1666666667,84934.27795636869,219500.0
2012.0,B95,D,48,555377.9166666666,481159.5615025796,370995.5
2012.0,B95,F,17,131793.23529411765,36077.76609029689,114500.0
2012.0,B95,S,26,265364.23076923075,85652.88171091859,214e3
2012.0,B95,T,29,263172.2413793103,97843.12693565553,205e3
2012.0,B96,D,35,397072.17142857146,158012.23094608207,305400.0
2012.0,B96,F,5,93200.0,24417.207047490097,78e3
2012.0,B96,S,16,210246.875,67756.68594008515,175e3
2012.0,B96,T,9,216333.33333333334,96477.9767615387,167400.0
2012.0,B97,D,165,251075.69696969696,82615.55007008804,21e4
2012.0,B97,F,54,89800.27777777778,16885.09947721203,77899.5
2012.0,B97,S,130,149653.65384615384,31663.919614355465,135e3
2012.0,B97,T,88,140171.47727272726,29349.76990999406,124500.0
2012.0,B98,D,106,216369.81132075473,62458.81640433739,183250.0
2012.0,B98,F,27,89720.37037037036,30191.657849540217,77600.0
2012.0,B98,S,123,141989.0162601626,24228.505035301605,130600.0
2012.0,B98,T,195,111929.68205128206,25289.655343300423,102500.0
2012.0,BA1,D,108,675175.8981481482,447432.37058503565,385500.0
2012.0,BA1,F,334,240711.32934131735,127097.53534181253,169900.0
2012.0,BA1,S,101,381963.48514851485,285178.22219232004,25e4
2012.0,BA1,T,221,372576.0045248869,389195.5823986712,225e3
2012.0,BA10,D,22,336145.45454545453,98310.08511591186,282510.0
2012.0,BA10,F,2,74e3,5656.85424949238,72400.0
2012.0,BA10,S,18,246583.33333333334,112330.29684032395,189600.0
2012.0,BA10,T,8,236625.0,170097.3985691727,140800.0
2012.0,BA11,D,98,359524.4387755102,497915.6864772846,215e3
2012.0,BA11,F,46,103368.47826086957,24839.677844340655,91750.0
2012.0,BA11,S,123,188685.56910569104,80102.09034184115,155e3
2012.0,BA11,T,218,166609.8623853211,49581.177736064914,135100.0
2012.0,BA12,D,151,304990.3642384106,169037.99694654386,205e3
2012.0,BA12,F,24,136829.16666666666,116242.51347250621,85e3
2012.0,BA12,S,101,207807.67326732673,119796.12824203534,158e3
2012.0,BA12,T,105,160764.14285714287,60572.07496135186,125e3
2012.0,BA13,D,105,248465.57142857142,120511.75954492009,179200.0
2012.0,BA13,F,12,133666.66666666666,102006.3129359545,80300.0
2012.0,BA13,S,63,163630.7142857143,44569.72629828623,145e3
2012.0,BA13,T,109,138058.48623853212,32627.261845140834,122e3
2012.0,BA14,D,236,249061.33050847458,92380.78739191321,204750.0
2012.0,BA14,F,59,105913.15254237287,28917.942631315487,91597.0
2012.0,BA14,S,205,167934.28292682927,45631.85254452257,149950.0
2012.0,BA14,T,206,147601.86893203884,52608.82523041359,124285.5
2012.0,BA15,D,61,419492.2131147541,167643.67848397134,33e4
2012.0,BA15,F,44,212771.22727272726,103805.20842667427,144700.0
2012.0,BA15,S,45,263245.55555555556,141440.94568462705,215800.0
2012.0,BA15,T,53,278248.43396226416,126722.99702189773,195e3
2012.0,BA16,D,57,257278.0701754386,62547.08227860365,229600.0
2012.0,BA16,F,19,116384.15789473684,34521.22779499136,101200.0
2012.0,BA16,S,56,181158.92857142858,43937.87774403028,157e3
2012.0,BA16,T,65,170229.76923076922,33116.06806973072,150400.0
2012.0,BA2,D,165,431123.30303030304,248144.82043058955,258900.0
2012.0,BA2,F,196,247439.57653061225,130177.95986756477,172e3
2012.0,BA2,S,250,303723.276,212767.77517646286,187850.0
2012.0,BA2,T,324,286799.1265432099,212679.33916416502,175924.99999999997
2012.0,BA20,D,58,245794.39655172414,93977.5590331141,19e4
2012.0,BA20,F,27,125792.4074074074,69248.78545686351,89999.00000000001
2012.0,BA20,S,48,158170.83333333334,35922.339154829686,142950.0
2012.0,BA20,T,50,148206.48,37588.00302432594,122050.0
2012.0,BA21,D,81,236064.6913580247,75935.18557109115,2e5
2012.0,BA21,F,49,93001.73469387754,31335.445876551894,77400.0
2012.0,BA21,S,134,153338.99253731343,30697.3103679624,135900.0
2012.0,BA21,T,183,137854.0819672131,33864.721388548496,118100.0
2012.0,BA22,D,85,330733.44705882354,189125.86526057104,235e3
2012.0,BA22,F,10,117650.0,49868.18736540472,79550.0
2012.0,BA22,S,40,189575.0,72609.11770817061,152250.0
2012.0,BA22,T,47,192425.53191489363,115766.16136228557,142900.0
2012.0,BA3,D,159,284471.641509434,137973.4159012499,222e3
2012.0,BA3,F,20,112397.5,55461.52880719733,99300.0
2012.0,BA3,S,129,171151.44186046513,38433.67398923823,152700.0
2012.0,BA3,T,145,148327.6275862069,47125.92460247463,125e3
2012.0,BA4,D,67,296617.8358208955,113209.77041243513,228800.0
2012.0,BA4,F,18,113414.72222222222,47341.84712940743,82400.0
2012.0,BA4,S,83,179150.0,57007.21659494032,149600.0
2012.0,BA4,T,72,152913.18055555556,42494.82583129067,133790.0
2012.0,BA5,D,70,351005.64285714284,165696.1497018866,25e4
2012.0,BA5,F,30,160313.33333333334,48991.31156843428,130949.99999999999
2012.0,BA5,S,62,216495.88709677418,88180.54564787821,175e3
2012.0,BA5,T,81,197903.7037037037,73518.31947624423,16e4
2012.0,BA6,D,81,306765.2469135802,148045.03009199016,22e4
2012.0,BA6,F,32,125099.8125,42145.79197793749,112900.0
2012.0,BA6,S,52,195275.86538461538,78680.1909738875,159300.0
2012.0,BA6,T,55,161579.36363636365,52370.18969384228,14e4
2012.0,BA7,D,16,384437.5,177720.74302117917,275e3
2012.0,BA7,F,4,88250.0,2986.0788111948195,86800.0
2012.0,BA7,S,20,191987.2,85490.95466132813,124999.70000000001
2012.0,BA7,T,20,192300.0,75717.86273292522,142100.0
2012.0,BA8,D,25,292899.96,93055.89489677695,248399.2
2012.0,BA8,F,6,93158.33333333333,13388.443399688655,87e3
2012.0,BA8,S,9,186833.33333333334,47035.89055179034,163500.0
2012.0,BA8,T,13,161646.15384615384,71732.33075567128,127970.0
2012.0,BA9,D,45,280063.3333333333,124397.55805024326,216700.0
2012.0,BA9,F,4,92623.75,35110.55761804418,87799.99999999999
2012.0,BA9,S,35,164438.0,26599.24980145117,15e4
2012.0,BA9,T,30,156116.5,53595.26898108799,129900.0
2012.0,BB1,D,55,222734.0,116207.55525909792,165996.0
2012.0,BB1,F,15,71162.66666666667,23272.800867925096,65e3
2012.0,BB1,S,160,128796.5875,47961.352560040636,104700.0
2012.0,BB1,T,253,87265.86561264822,35447.18092712426,66300.0
2012.0,BB10,D,49,210876.51020408163,104179.76023683824,160500.0
2012.0,BB10,F,4,129375.0,115404.63234492221,52499.99999999999
2012.0,BB10,S,89,130058.93258426966,51569.3221022568,112e3
2012.0,BB10,T,236,58891.77118644068,33728.21178054625,4e4
2012.0,BB11,D,26,175091.73076923078,53588.32383910339,139975.0
2012.0,BB11,F,10,62874.5,24619.064479247245,57875.0
2012.0,BB11,S,83,115792.89156626505,44429.52318629213,102e3
2012.0,BB11,T,137,58112.11678832117,49419.752937592995,3e4
2012.0,BB12,D,73,223719.72602739726,93141.39737401949,162200.0
2012.0,BB12,F,6,60007.166666666664,7170.877447472288,57898.5
2012.0,BB12,S,85,128584.11764705883,57698.824579389286,102600.0
2012.0,BB12,T,179,83200.80446927375,61723.20303581853,5e4
2012.0,BB18,D,21,221211.90476190476,87468.39701395285,175e3
2012.0,BB18,F,1,35e3,NA,35e3
