outcode,property_type,n_i,avg_price,sd,threshold
DN14,S,1080,132562.8111111111,42761.151745047595,114985.0
DN14,T,1141,95216.58632778264,35855.44793424801,74e3
DN15,D,626,178127.1230031949,125297.86509229611,129950.0
DN15,F,76,63224.92105263158,22886.40472406455,5e4
DN15,O,57,690188.3859649122,1296653.1821745352,127400.0
DN15,S,1009,100704.94350842418,28963.670963815675,85e3
DN15,T,354,72159.47175141243,37352.403867495625,54950.0
DN16,D,575,162784.74086956523,41282.93459338612,141743.8
DN16,F,108,63947.351851851854,19961.2823995334,5e4
DN16,O,12,174062.5,218571.34587735045,89e3
DN16,S,1211,99621.8744838976,24862.492409065573,85e3
DN16,T,405,89466.14074074074,26236.064427444806,72050.0
DN17,D,750,181924.15066666665,70724.39934839252,146e3
DN17,F,28,54445.5,11215.558735111717,5e4
DN17,O,14,252049.07142857142,298260.1308172924,142600.0
DN17,S,1040,103792.33461538462,30580.304670359434,87500.0
DN17,T,307,80334.28664495113,28615.77249306897,65e3
DN18,D,540,177109.11111111112,55548.72766490567,149350.0
DN18,F,29,79084.27586206897,21284.51109861104,68500.0
DN18,O,23,588125.0,1753290.4458818152,101e3
DN18,S,364,117474.91758241758,29921.519146824663,1e5
DN18,T,295,91227.69491525424,34052.09779689339,71100.0
DN19,D,316,198999.21518987342,74356.07652305729,158e3
DN19,O,2,950537.5,1021822.3318231502,661522.5
DN19,S,130,119038.92307692308,36328.63389520326,99550.0
DN19,T,60,98051.66666666667,43639.22000447385,75e3
DN2,D,108,155706.9814814815,44578.226221191115,127050.0
DN2,F,45,76482.22222222222,24610.696481675026,62300.0
DN2,O,11,770337.8181818182,1207250.1106698494,93e3
DN2,S,996,113382.4578313253,35745.187548671216,92500.0
DN2,T,267,95894.68164794007,39359.08483370955,8e4
DN20,D,727,199187.45804676754,82303.36235121073,153e3
DN20,F,41,92871.9512195122,33552.498134975904,85e3
DN20,O,13,449638.8461538461,686814.300133091,113200.0
DN20,S,487,118651.2340862423,38021.27885660335,1e5
DN20,T,215,103700.62790697675,36235.025675470715,84960.0
DN21,D,1254,193789.06698564594,85659.32898489448,145e3
DN21,F,111,70288.12612612612,34195.62110991755,5e4
DN21,O,45,568226.0666666667,836012.6713091028,76e3
DN21,S,831,103238.29121540312,36331.32712298714,83e3
DN21,T,1003,69623.73878364905,37544.716406592524,46e3
DN22,D,1345,222098.15836431226,90641.13778371907,174995.0
DN22,F,92,101792.08695652174,50090.2910799675,71e3
DN22,O,47,360017.6595744681,524751.1048571038,144e3
DN22,S,952,124069.0231092437,42221.01831029478,103e3
DN22,T,627,111930.74641148325,46832.65784010658,83e3
DN3,D,881,193822.13620885357,66489.77538026276,154e3
DN3,F,59,78808.38983050847,17299.002797666915,70400.0
DN3,O,16,966940.625,1167391.7179220165,2e5
DN3,S,1064,116976.39285714286,24140.379317162107,105e3
DN3,T,323,105112.59752321981,28657.88430053504,87300.0
DN31,F,65,35583.07692307692,17345.474637052037,25e3
DN31,O,49,299010.28571428574,378277.2765453162,82e3
DN31,S,20,75822.5,26534.012308931462,61850.0
DN31,T,565,55288.15221238938,19825.33695012547,43500.0
DN32,D,115,187648.26086956522,72978.99208965948,155e3
DN32,F,98,57548.21428571428,32420.58780359985,35065.0
DN32,O,25,324540.24,794792.5792466381,48400.0
DN32,S,410,133208.4,54772.14341528171,105e3
DN32,T,1136,64945.68661971831,28714.1984830455,46e3
DN33,D,531,188781.93408662901,47500.45858036216,164950.0
DN33,F,46,78760.86956521739,15777.177303671833,76500.0
DN33,O,9,152493.0,140068.5008879584,67600.0
DN33,S,657,115992.26788432267,33240.79102009372,104990.0
DN33,T,260,100753.93846153846,34330.8184231366,85e3
DN34,D,179,154811.53631284917,50309.37094084523,125e3
DN34,F,95,80301.52631578948,29217.33110229819,65e3
DN34,O,6,362166.6666666667,252614.6604349531,257500.0
DN34,S,619,105578.6365105008,29435.611122153605,91e3
DN34,T,484,83396.28512396694,23251.70311305532,7e4
DN35,D,474,199069.9599156118,62705.93735496651,16e4
DN35,F,155,108030.67741935483,51930.02149258116,76400.0
DN35,O,41,318625.4146341463,460658.60206729977,125e3
DN35,S,922,133940.50867678958,36655.459862142474,115500.0
DN35,T,1151,87502.54561251086,49865.49403752458,67e3
DN36,D,892,207984.99551569507,86477.87811089834,16e4
DN36,F,53,108865.98113207547,31505.860533271345,87800.0
DN36,O,19,227757.84210526315,116089.78434636182,184800.0
DN36,S,598,136266.12709030102,32953.51721177932,121e3
DN36,T,113,111801.27433628318,40522.68092228629,85e3
DN37,D,596,218917.4731543624,110836.89538281826,157500.0
DN37,F,32,67915.625,28100.299727192672,49965.0
DN37,O,7,1858331.142857143,2723200.5668433257,225800.0
DN37,S,552,129009.93115942029,26925.82453706287,118500.0
DN37,T,223,88176.61883408071,32155.37180449932,68300.0
DN38,D,92,231398.91304347827,94355.45546934484,169965.0
DN38,F,1,9e4,NA,9e4
DN38,O,1,337250.0,NA,337250.0
DN38,S,49,119261.22448979592,47259.55510232177,98200.0
DN38,T,26,88252.23076923077,25981.084356597115,74975.0
DN39,D,101,197847.0297029703,75310.78502504875,155e3
DN39,F,2,26880.0,5826.559876977151,25232.0
DN39,O,6,301166.6666666667,347942.7634923116,122500.0
DN39,S,65,116642.01538461538,36383.5850085981,99200.0
DN39,T,27,86638.88888888889,29708.436814290955,73600.0
DN4,D,1266,215739.41943127962,97037.81883417962,163e3
DN4,F,279,99673.78494623656,35079.91941099128,8e4
DN4,O,47,637343.1914893617,1101296.30141558,133e3
DN4,S,1470,123279.31836734693,41620.15131223381,1e5
DN4,T,1170,89073.00683760684,46906.120995379075,6e4
DN40,D,280,142893.2142857143,47165.54833991449,117e3
DN40,F,8,43e3,23200.98520075633,29100.0
DN40,O,13,298730.76923076925,307139.53231014125,131999.99999999997
DN40,S,344,92701.38081395348,26400.297367522682,8e4
DN40,T,96,72376.5625,35949.872229569446,54750.0
DN41,D,284,200894.50704225354,64193.082624401766,165e3
DN41,F,11,70040.90909090909,9503.862851015323,65e3
DN41,O,5,257e3,193313.2173442882,140000.00000000003
DN41,S,152,150210.42105263157,48443.498529679404,128e3
DN41,T,76,116357.8947368421,37433.844804429384,95e3
DN5,D,600,235266.04333333333,115169.59319303237,168e3
DN5,F,55,73758.63636363637,19132.65733742299,62900.0
DN5,O,21,410273.8095238095,493140.55593183765,8e4
DN5,S,1349,118641.63232023722,41238.198474773744,95500.0
DN5,T,674,86896.87982195846,48123.03025693988,62500.0
DN6,D,376,203706.82180851063,87731.24659107582,148e3
DN6,F,15,57030.0,37738.232792298506,41400.0
DN6,O,21,299684.04761904763,602991.2518097154,1e5
DN6,S,690,99091.39855072464,32860.77091244118,8e4
DN6,T,418,78316.38995215311,39416.57641253213,58099.99999999999
DN7,D,441,178618.43083900228,80199.25929430312,135e3
DN7,F,12,74837.5,13110.14744040245,66825.0
DN7,O,20,364275.0,850258.3736569044,75e3
DN7,S,478,102384.44560669456,36074.44820750652,85e3
DN7,T,215,75729.20930232559,24984.15207327385,61600.0
DN8,D,255,162697.42745098038,59731.09157006268,130200.0
DN8,F,23,91836.95652173914,14445.746601046969,93e3
DN8,O,21,1815325.0476190476,3295969.7940118695,209800.0
DN8,S,472,89368.81355932204,28317.670690594623,71e3
DN8,T,249,83904.35341365462,29916.505865714087,65e3
DN9,D,1188,223479.76515151514,71248.5996604019,184995.5
DN9,F,48,88585.83333333333,23734.584926457122,80075.0
DN9,O,22,504436.4090909091,712141.8582190502,169500.0
DN9,S,422,136538.7037914692,34550.57466912357,12e4
DN9,T,167,116063.2634730539,41606.612245032375,96800.0
DT1,D,367,373954.91553133517,115629.26595572622,299560.0
DT1,F,865,200201.26242774568,92534.19759439833,15e4
DT1,O,35,718879.3142857143,1614877.2310991136,102e3
DT1,S,360,279953.5722222222,85897.40182775029,23e4
DT1,T,754,241654.57692307694,90836.47715391904,187e3
DT10,D,474,360848.223628692,166587.19775520862,254900.0
DT10,F,63,109556.19047619047,29835.9559780548,92399.99999999999
DT10,O,11,798041.6363636364,860222.923124846,288e3
DT10,S,281,229541.4590747331,71177.22296949505,187e3
DT10,T,239,193102.16317991633,63422.243931421915,158400.0
DT11,D,961,371620.79604578565,186118.99920469784,27e4
DT11,F,213,117360.86384976526,50271.5410653967,89e3
DT11,O,43,454855.4418604651,500677.88078765216,157e3
DT11,S,536,244537.66791044775,70544.75784198876,205500.0
DT11,T,657,200814.43378995435,68631.07016504287,165e3
DT2,D,879,401016.37883959047,210714.71322762995,29e4
DT2,F,165,160208.18181818182,48573.97403951142,132100.0
DT2,O,37,537108.0,646660.2530706007,207999.99999999997
DT2,S,482,258297.58298755187,97767.37141036929,205e3
DT2,T,517,223726.71566731142,79513.11133810024,182e3
DT3,D,945,328839.68888888886,118861.23674158854,255e3
DT3,F,257,179014.05058365758,73088.24996259718,130800.0
DT3,O,16,861890.0625,1135881.2184792017,182500.0
DT3,S,438,238645.15296803653,78398.384448235,2e5
DT3,T,640,193732.5578125,68304.27804204432,155e3
DT4,D,642,294374.6573208723,104872.48926984906,24e4
DT4,F,1057,158633.3358561968,73071.43245484907,117e3
DT4,O,60,1482457.5166666666,5386379.927213829,183500.0
DT4,S,596,221910.3255033557,65361.570461662566,185e3
DT4,T,1176,184557.62074829932,59149.88259332501,159e3
DT5,D,156,248803.4871794872,77954.77974664686,201500.0
DT5,F,113,112376.41592920353,32275.90382344236,94300.0
DT5,O,11,198945.45454545456,171752.35872404408,11e4
DT5,S,139,176646.74820143884,40719.49312704047,153e3
DT5,T,668,168176.98502994012,46493.14143441544,145e3
DT6,D,899,379049.38375973306,151200.36613935663,285e3
DT6,F,364,152134.260989011,79835.0675031293,118e3
DT6,O,21,601548.0476190476,769615.286927792,18e4
DT6,S,385,261106.2,101042.68777994667,2e5
DT6,T,602,214494.31561461795,74994.30619205705,169300.0
DT7,D,318,447216.60062893084,166600.81978172887,35e4
DT7,F,206,206086.11650485438,96230.85808751543,147500.0
DT7,O,6,504119.3333333333,376915.80638581165,287050.0
DT7,S,95,266940.5263157895,95735.23309682294,215100.0
DT7,T,103,305844.99029126216,116129.73949343742,243e3
DT8,D,288,348939.3923611111,161995.99744075348,256100.0
DT8,F,45,117312.22222222222,89217.47380033314,81200.0
DT8,O,9,637222.2222222222,731000.9879914284,261200.0
DT8,S,117,229887.39316239316,98322.52245885314,175e3
DT8,T,118,239406.7372881356,113240.19735197836,175e3
DT9,D,655,378604.6213740458,195165.1706610248,270100.0
DT9,F,145,161355.98620689654,87689.76551710156,115e3
DT9,O,24,538705.625,643839.8452243425,216999.99999999994
DT9,S,445,241240.03595505617,106587.59859067816,183389.99999999997
DT9,T,598,231800.16555183945,121546.9880464209,172e3
DY1,D,347,196845.03458213256,46823.803345506705,175e3
DY1,F,133,88309.58646616542,32525.463533167225,74397.0
DY1,O,47,1103118.5531914893,3599604.3830037033,179200.0
DY1,S,859,116391.70314318975,28381.442988240677,1e5
DY1,T,348,106368.0172413793,34196.55276220317,87e3
DY10,D,851,257690.0705052879,150466.62006124106,18e4
DY10,F,314,85556.52866242039,34942.218145676874,65900.0
DY10,O,52,529661.2307692308,874524.0988718339,196500.0
DY10,S,773,161425.26390685642,68650.21267166978,128800.0
DY10,T,875,132327.5817142857,55521.12391948224,107e3
DY11,D,658,266348.6367781155,118354.27113042043,192600.0
DY11,F,158,102820.22151898734,42465.11182609609,82950.0
DY11,O,31,1058938.7741935484,2781974.993029517,16e4
DY11,S,898,151756.02004454343,47097.07883207452,129399.69999999997
DY11,T,518,128550.41505791506,54736.26381807247,103e3
DY12,D,324,302018.25925925927,127291.40182676267,219800.0
DY12,F,77,124007.12987012987,44108.5557679038,1e5
DY12,O,13,472800.0,380825.85040059104,212760.0
DY12,S,219,177126.46118721462,53650.25041975895,152e3
DY12,T,186,172047.19892473117,61469.00169360867,136200.0
DY13,D,585,246552.97606837607,108523.56934845798,19e4
DY13,F,156,122749.03846153847,35318.89719497876,105e3
DY13,O,21,272425.7619047619,381895.6953546223,68e3
DY13,S,551,147889.5989110708,38827.10449472495,13e4
DY13,T,409,138254.63325183373,37824.894265594456,12e4
DY14,D,273,325452.6703296703,130643.00338948969,25e4
DY14,F,18,108686.05555555556,80039.5323835241,80649.5
DY14,O,12,494746.25,768286.1800465815,127300.0
DY14,S,85,185201.5294117647,83279.14514859451,142400.0
DY14,T,111,158380.63063063062,48619.39936952363,132500.0
DY2,D,225,178448.86222222223,55434.9716118841,149100.0
DY2,F,106,79290.99056603774,36411.72040127826,63e3
