outcode,property_type,n_i,avg_price,sd,threshold
NW1,S,16,4010187.5,3428642.962237392,1712500.0
NW1,T,128,2092478.7421875,1685755.7792141782,115e4
NW10,D,15,1199857.0,659551.5318484004,853600.0
NW10,F,1281,388062.5862607338,136737.6449848416,31e4
NW10,O,112,1334480.25,2877343.3302455097,285999.99999999994
NW10,S,128,820761.0390625,384069.1167752984,595495.0
NW10,T,460,764561.7195652174,369952.5240219669,52e4
NW11,D,81,1836831.6913580247,1208166.7732268758,1175e3
NW11,F,334,549817.6826347306,362340.6616380022,389775.0
NW11,O,37,2130432.054054054,3318083.9143360625,369999.9999999999
NW11,S,210,1183141.738095238,627105.287801289,88e4
NW11,T,115,948469.4782608695,440845.7292568327,704e3
NW2,D,61,1575687.6393442622,824185.3303798046,927450.0
NW2,F,1044,450216.25383141765,195896.40145670672,345e3
NW2,O,41,3076107.6829268294,5331704.930573167,54e4
NW2,S,238,873584.2352941176,455161.6423040258,6e5
NW2,T,258,617103.0465116279,266634.5223076549,47e4
NW3,D,44,4911107.840909091,3408517.0057018353,2872500.0
NW3,F,1170,962426.770940171,650700.2512458902,599e3
NW3,O,71,2816430.8028169014,7308882.892373531,5e4
NW3,S,64,3792580.171875,1745571.2711566058,289e4
NW3,T,151,2467461.9337748345,1429250.1520686743,1683e3
NW4,D,90,1272350.9666666666,534853.4516381741,95e4
NW4,F,493,407038.72819472617,244171.33363177435,307300.0
NW4,O,17,971098.8823529412,1184226.8247373411,72170.0
NW4,S,128,677102.734375,249841.6062250753,531e3
NW4,T,87,584802.9195402298,146915.81258335785,498960.0
NW5,D,3,1613333.3333333333,686464.3714959527,1472000.0000000002
NW5,F,465,587892.6516129032,224959.16105514063,450600.0
NW5,O,32,3419090.875,3890409.750768085,351800.0
NW5,S,20,1929050.0,777984.6585552754,1322e3
NW5,T,123,1292432.1138211382,453299.85286087607,1053e3
NW6,D,17,277e4,1124922.2195334218,2382e3
NW6,F,1720,623403.325,265612.6907997434,473e3
NW6,O,69,1443407.391304348,3200527.3168398407,30600.0
NW6,S,45,2038383.111111111,1132996.2734008005,1344999.9999999998
NW6,T,213,1481758.4882629109,742332.5197231399,1139e3
NW7,D,137,1211392.3357664233,600242.5838619487,854e3
NW7,F,551,519158.056261343,371112.26216712204,35e4
NW7,O,17,873072.7058823529,1222603.9916360776,48600.0
NW7,S,260,664263.3653846154,172657.8124351881,569100.0
NW7,T,208,632473.9807692308,169285.9470535747,565495.0
NW8,D,22,8535250.863636363,7234886.412155653,4527048.0
NW8,F,685,1268326.2218978102,1640479.9720434968,512600.0
NW8,O,29,2106211.793103448,4120363.069570667,116244.00000000001
NW8,S,16,4046e3,1786621.0193173778,2812500.0
NW8,T,59,2832900.13559322,1960542.214899002,2042999.9999999998
NW9,D,30,756033.3333333334,255682.92369899162,615e3
NW9,F,1942,345753.5499485067,107525.969713276,286650.0
NW9,O,48,836370.5,1117724.5436613336,148750.0
NW9,S,228,509233.7850877193,130416.98326140846,465e3
NW9,T,253,445064.0,96190.70238857775,399980.0
OL1,D,40,200197.475,68712.94528614526,162e3
OL1,F,7,52071.42857142857,7507.932313163699,47e3
OL1,O,27,260322.1851851852,440518.86396839225,107800.0
OL1,S,150,124905.76666666666,44540.479604530155,109695.0
OL1,T,227,76151.52863436124,31542.555125327952,61e3
OL10,D,208,216723.0,70520.77377761276,179950.0
OL10,F,143,66441.95804195805,58893.14645148427,45e3
OL10,O,45,146446.64444444445,173085.09788791958,35e3
OL10,S,285,133891.52280701755,37516.56086875999,118e3
OL10,T,422,91693.11137440758,35719.30561070034,70995.8
OL11,D,263,257878.99239543726,127505.65514206044,187e3
OL11,F,57,78800.0,41020.23455390209,53700.0
OL11,O,41,835959.5609756098,2147670.7320979987,115e3
OL11,S,354,134558.82768361582,53541.872308941485,103e3
OL11,T,402,91855.57213930348,41090.9581003778,65e3
OL12,D,344,205789.22965116278,86628.8804678346,17e4
OL12,F,61,62199.18032786885,34639.7645919196,4e4
OL12,O,30,253298.33333333334,217975.62204859345,162100.0
OL12,S,394,126539.01522842639,41353.113306463056,108899.99999999999
OL12,T,527,89978.59772296016,36483.06239946405,67e3
OL13,D,147,195115.306122449,95060.65738575094,154950.0
OL13,F,19,54257.36842105263,29842.889687700834,38984.0
OL13,O,14,187710.7142857143,116925.06834354579,100650.00000000001
OL13,S,108,116239.86111111111,43225.81918413355,95e3
OL13,T,269,67738.15613382899,31215.915411342157,47399.99999999999
OL14,D,72,285593.5,106292.79906061768,235e3
OL14,F,12,101491.91666666667,52924.51307365362,76950.0
OL14,O,9,278411.1111111111,282443.26175554463,136100.0
OL14,S,107,167626.1214953271,67377.07871371787,125e3
OL14,T,330,101202.17878787879,46893.11549999856,75e3
OL15,D,95,236420.2105263158,75866.4863670291,195599.0
OL15,F,14,121532.14285714286,62120.161495972585,95e3
OL15,O,16,177592.5625,175205.6490862357,67e3
OL15,S,145,145354.33103448275,35738.645344449214,126600.0
OL15,T,239,113030.29288702928,45061.53006413098,85e3
OL16,D,218,222388.90366972476,55553.91931384252,195100.0
OL16,F,12,105583.33333333333,60873.502719437245,76500.0
OL16,O,31,449457.1612903226,865434.5159364012,95e3
OL16,S,365,129618.53698630138,41831.11779080779,108995.0
OL16,T,408,96690.62009803922,46768.62512574662,67575.0
OL2,D,197,224376.0659898477,76441.13579055261,187750.0
OL2,F,49,77356.12244897959,26473.990051269073,64e3
OL2,O,40,411263.875,725702.2377000648,96700.0
OL2,S,531,143920.83804143127,33046.3976457707,128e3
OL2,T,492,102355.45731707317,28263.76811915725,87e3
OL3,D,132,391930.6818181818,187090.47854481265,301500.0
OL3,F,105,150594.04761904763,52776.727316115706,120200.00000000001
OL3,O,17,419832.35294117645,363283.5355051446,117399.99999999999
OL3,S,170,242415.01764705882,74176.94514110933,204550.0
OL3,T,227,202593.60352422908,72931.25883700402,155e3
OL4,D,166,274200.0903614458,135438.51649193905,195e3
OL4,F,26,128253.65384615384,70342.22726865693,90875.0
OL4,O,30,505201.4,1611531.335799363,51500.0
OL4,S,285,156326.77192982455,54643.86384865623,129950.0
OL4,T,602,88123.12624584718,40744.54290229325,63e3
OL5,D,51,261934.21568627452,84605.75829323055,205e3
OL5,F,25,91320.0,21657.793054695117,85e3
OL5,O,19,72410.15789473684,64694.31708878915,3202.7999999999997
OL5,S,114,174642.71929824562,47856.535179159575,149750.0
OL5,T,267,120723.05617977527,40490.67153043468,96900.0
OL6,D,111,216708.33333333334,68468.86353841737,185e3
OL6,F,104,81319.56730769231,31234.076123314095,61e3
OL6,O,28,394466.14285714284,898097.5283677164,111e3
OL6,S,258,133549.42248062015,38623.807932945325,118074.5
OL6,T,329,90270.62006079027,32539.278165925487,71e3
OL7,D,29,207048.27586206896,46005.08023724628,173970.0
OL7,F,35,70328.57142857143,8555.13507400402,7e4
OL7,O,14,284140.0,231437.85462591497,115e3
OL7,S,120,129974.79166666667,36468.601594620486,11e4
OL7,T,238,90890.73949579832,31521.770193540564,74e3
OL8,D,49,165043.57142857142,40733.129061305866,140800.0
OL8,F,10,62937.0,19259.264610398117,51750.0
OL8,O,12,340694.1666666667,379661.9041979882,134900.0
OL8,S,192,107889.16666666667,35452.86402572475,85e3
OL8,T,520,73715.98269230769,27133.083304209067,56850.0
OL9,D,116,205875.99137931035,58618.121501430316,165e3
OL9,F,30,86561.6,33863.673836377406,66285.0
OL9,O,32,278736.21875,377143.63915380626,43250.0
OL9,S,333,129030.66066066067,33497.743774257804,11e4
OL9,T,440,84507.79772727273,29049.80613491381,68699.99999999999
OX1,D,95,780651.5157894737,613847.0594019339,431e3
OX1,F,162,360622.2530864198,129632.4535487151,292115.0
OX1,O,32,2975410.25,4735608.366634119,637399.9999999999
OX1,S,84,373775.0833333333,97233.78256914527,32e4
OX1,T,127,535466.7007874015,294572.53258721577,378999.99999999994
OX10,D,235,626435.3276595745,367431.894788842,436e3
OX10,F,129,233726.70542635658,82013.84494042787,185200.0
OX10,O,29,854566.275862069,1664664.0172329906,15e4
OX10,S,275,361262.5963636364,109759.35399993234,305e3
OX10,T,255,329163.3607843137,124371.53683289602,27e4
OX11,D,562,431252.82384341635,180003.06705193265,343600.0
OX11,F,193,182977.98445595856,34202.65896834579,166597.0
OX11,O,25,1644516.12,3741296.2032516715,300180.0
OX11,S,652,301276.5,60819.629777624024,275e3
OX11,T,478,258393.9079497908,50402.07998028968,239950.0
OX12,D,373,464432.1903485255,219609.28033045886,365e3
OX12,F,216,205707.86574074073,109477.98933049054,156750.0
OX12,O,18,907039.6111111111,1214245.7970372895,204499.99999999997
OX12,S,260,314376.3846153846,102070.91431837832,264950.0
OX12,T,230,256426.20869565217,74060.10751866878,22e4
OX13,D,321,551296.1526479751,221251.95698032485,43e4
OX13,F,11,191540.9090909091,38663.14018662878,17e4
OX13,O,8,1116812.5,1860779.2710409567,210250.0
OX13,S,101,340418.6633663366,91346.43625202651,293500.0
OX13,T,60,307804.3,71131.82458927928,272800.0
OX14,D,404,483331.56683168316,183496.3458338616,383450.0
OX14,F,369,205391.55826558266,55926.935156772925,173400.0
OX14,O,34,1554663.3823529412,5727301.167858035,299250.0
OX14,S,373,336837.163538874,109229.33534244455,281600.0
OX14,T,422,296363.9289099526,101807.09004868084,252150.0
OX15,D,393,457534.8066157761,194997.25165940856,368300.0
OX15,F,23,187176.08695652173,79970.28833141891,142200.0
OX15,O,15,523846.06666666665,586765.0941241267,19e4
OX15,S,254,284048.1614173228,69834.45581735317,254995.0
OX15,T,246,294654.0487804878,124099.33121919178,237750.0
OX16,D,249,327264.6907630522,81729.64652519813,271999.99999999994
OX16,F,413,143976.55205811138,33056.05799744449,127800.0
OX16,O,68,1335257.3970588236,2404111.1358279046,172999.9999999999
OX16,S,489,234000.35378323108,50623.78056426085,208180.0
OX16,T,540,207265.41666666666,54664.62116634669,182e3
OX17,D,306,474015.4183006536,200947.43414169952,364972.5
OX17,F,23,189213.1739130435,160537.2040592155,126200.0
OX17,O,15,803385.0,488152.7774060962,392e3
OX17,S,169,304512.4378698225,126959.3287755121,243200.0
OX17,T,131,277671.0305343511,118802.44719202735,215e3
OX18,D,288,475533.4236111111,335773.7799893384,32e4
OX18,F,151,167399.00662251655,43024.049658378535,155e3
OX18,O,25,682683.0,621693.7070280937,256651.99999999997
OX18,S,223,307893.0044843049,119719.10573732591,25e4
OX18,T,277,259786.04693140794,90546.41850739268,220800.0
OX2,D,275,890401.5636363636,811218.1464028008,525999.0
OX2,F,344,374248.6715116279,205657.73705567856,265e3
OX2,O,20,1728438.1,2749791.545081686,245e3
OX2,S,286,847565.3846153846,696502.9881544636,373e3
OX2,T,301,608598.2558139535,317529.4657169804,418e3
OX20,D,46,721967.3913043478,485462.56752565276,54e4
OX20,F,31,270980.6451612903,65629.88226590505,230500.0
OX20,O,4,351687.5,205438.69472829762,199899.99999999997
OX20,S,44,437935.2272727273,168725.89839239037,381700.0
OX20,T,74,462763.5135135135,268734.68383209384,315e3
OX25,D,214,488900.58411214955,202002.49661270325,397529.9
OX25,F,5,185250.0,64912.44102635488,196800.0
OX25,O,3,592e3,301142.82325833366,539400.0
OX25,S,155,286689.9612903226,101917.49878540885,25e4
OX25,T,108,253899.52777777778,116309.12554344763,212400.0
OX26,D,473,406287.67441860464,95339.95492473531,350600.0
OX26,F,133,189770.06766917295,50649.50218355908,165e3
OX26,O,25,1562541.8,2060051.0038674206,272499.99999999994
OX26,S,398,292593.743718593,55951.026610243694,26e4
OX26,T,546,259171.2619047619,61559.65859327247,229497.5
OX27,D,89,530471.4606741572,254718.92664692263,405e3
OX27,F,44,239318.18181818182,47558.298484669016,214750.0
OX27,O,9,1016063.1111111111,950186.1879900756,379e3
OX27,S,73,317917.16438356164,105001.50922738282,27e4
OX27,T,132,320194.69696969696,105487.34815378644,246e3
OX28,D,202,432760.64356435643,123057.28501840585,356300.0
OX28,F,336,218884.65773809524,87554.737035867,175e3
OX28,O,17,4136297.705882353,9739857.957064342,342564.6
OX28,S,225,309593.31111111114,73937.34606185589,265e3
OX28,T,395,285893.59493670886,76786.9338156572,25e4
OX29,D,265,515970.8452830189,206771.97302145252,399960.0
OX29,F,30,195581.66666666666,61557.50813240626,171750.0
OX29,O,26,637945.4615384615,704805.939004162,237500.0
OX29,S,165,339376.6424242424,111093.62457547456,281e3
OX29,T,167,298385.119760479,92334.60573833105,257e3
OX3,D,140,818164.6928571429,615962.0552461984,5e5
OX3,F,232,255973.05172413794,104311.95380149275,222150.0
OX3,O,12,2653643.0833333335,4566237.268794585,398200.0
OX3,S,387,429996.7157622739,133087.78841294785,35e4
OX3,T,237,361693.611814346,104459.48814773113,308650.0
OX33,D,92,583514.6739130435,268470.0477019351,45e4
OX33,F,29,209965.5172413793,33772.06448977435,188800.0
OX33,O,7,968285.7142857143,662393.8189842743,85e4
