outcde,prop_typ,year,N,avg_price,median,sd,q25,q20,q15,q10,q05,scottish
CV7,D,2015,192,392175.4427083333,368100,179718.2289974094,25e4,236400.00000000003,222300,201e3,173650,FALSE
CV7,D,2016,144,427825.7916666667,398e3,199835.26009186736,282500,249980,228900,207270,190600,FALSE
CV7,F,2015,41,134791.46341463414,125e3,59258.43178658104,8e4,74e3,67500,62e3,58e3,FALSE
CV7,F,2016,45,123004.33333333333,109e3,61202.581678315735,83e3,81900,74800,7e4,67500,FALSE
CV7,O,2015,19,295683.15789473685,315e3,131244.7359813224,18e4,167e3,155e3,154e3,15e4,FALSE
CV7,O,2016,13,586615.3846153846,54e4,383635.79483270727,325e3,28e4,227199.99999999997,158800,129600,FALSE
CV7,S,2015,164,188072.83536585365,155e3,94498.22027429691,12e4,115980,113e3,107300,90150,FALSE
CV7,S,2016,132,201214.01515151514,158500,117679.2816625359,127500,125e3,12e4,112300,11e4,FALSE
CV7,T,2015,107,138865.3738317757,116e3,69169.29767190765,93500,84400.00000000003,8e4,78375,68585,FALSE
CV7,T,2016,119,150090.32773109243,122500,77498.17338296927,97e3,95e3,92700,86800,8e4,FALSE
CV8,D,2015,193,438496.8031088083,399950,164573.29882365675,325e3,311e3,299950,28e4,269980,FALSE
CV8,D,2016,173,470628.0346820809,42e4,171687.5005656368,368e3,341180,326e3,309950,285e3,FALSE
CV8,F,2015,107,165100.93457943926,148e3,70840.41658375415,12e4,111300,102250,94300,85300,FALSE
CV8,F,2016,107,170919.95327102803,161e3,54572.386377641815,137750,130400.00000000001,119800,106500,93112.5,FALSE
CV8,O,2015,4,1190875,781e3,1025380.1226049457,575375,560600,545825,531050,516275,FALSE
CV8,O,2016,7,444285.71428571426,45e4,330081.15885123075,192500,191e3,171999.99999999997,118000.00000000001,64000.00000000001,FALSE
CV8,S,2015,191,291688.47643979057,282e3,80503.07305470244,237500,227500,22e4,200500,177500,FALSE
CV8,S,2016,146,308765.1506849315,3e5,88410.97497017628,245e3,234950,224500,215e3,203125,FALSE
CV8,T,2015,131,238840.31297709924,225e3,92292.71017208773,182750,169e3,154500,138e3,121875,FALSE
CV8,T,2016,114,251421.9298245614,235e3,79231.62611466329,202500,19e4,182375,169965,156275,FALSE
CV9,D,2015,135,284300.74074074073,249995,137959.9234859645,215500,204e3,194100,183180,166750,FALSE
CV9,D,2016,117,308742.37606837606,29e4,134141.88629194387,227e3,215614.40000000002,205e3,19e4,177400,FALSE
CV9,F,2015,52,126514.19230769231,119647,39968.23086639867,119647,99150,82600,70700,59700,FALSE
CV9,F,2016,37,124601.81081081081,127500,43137.9295837059,85e3,83e3,79040,74110,64900,FALSE
CV9,O,2015,12,201245,175e3,149190.57467791747,123250,106200,92300,80200.00000000001,49623,FALSE
CV9,O,2016,15,400117,25e4,399469.8270606394,131360,122176,120272,108e3,98500,FALSE
CV9,S,2015,110,168147.27272727274,157500,58141.84642007809,127625,125e3,124175,112700,101350,FALSE
CV9,S,2016,88,172420.93181818182,163500,58784.7880470996,128308,125400,125e3,118500,110445,FALSE
CV9,T,2015,109,139762.9357798165,125e3,46447.569950045356,111e3,109600,105400,104e3,95400,FALSE
CV9,T,2016,114,132944.26315789475,128308,31762.879333283916,115125,110445,110445,107900,87150,FALSE
CW1,D,2015,182,196410.1923076923,188997.5,57728.58953368295,159962.5,155e3,145450,132550,122025,FALSE
CW1,D,2016,265,212667.01509433961,198e3,84921.95775739191,169950,158e3,15e4,137200,125600,FALSE
CW1,F,2015,41,73039.34146341463,76e3,22762.025014934145,6e4,55e3,55e3,47e3,36e3,FALSE
CW1,F,2016,37,80750.67567567568,8e4,18824.124303158987,70500,70100,67700,66600,60999.99999999999,FALSE
CW1,O,2015,25,1461640.48,489943,2402727.3328268393,206880,178220,162658,140998,128760,FALSE
CW1,O,2016,20,719551,305e3,1213924.9238768737,191237.5,169960.00000000003,126250,103000.00000000001,82903.5,FALSE
CW1,S,2015,315,116244.97777777778,115e3,28623.77888079598,98750,92400,85100,81805,74487,FALSE
CW1,S,2016,308,130205.58766233767,125e3,33582.81425169653,110750,105e3,96025,90350,83e3,FALSE
CW1,T,2015,222,93106.85135135135,81500,47781.83752530396,69e3,65e3,63075,6e4,52150,FALSE
CW1,T,2016,249,96284.38554216867,86500,36419.21873669286,7e4,68e3,64e3,6e4,54400,FALSE
CW10,D,2015,155,235088.68387096774,214750,97036.3512608692,185747.5,182400,175e3,159400,146850,FALSE
CW10,D,2016,123,245893.2276422764,219995,117011.95140323768,195500,185e3,178100,16e4,145350,FALSE
CW10,F,2015,9,107777.77777777778,108e3,27170.884130709557,95e3,94400,93800,86200,71600,FALSE
CW10,F,2016,9,160555.55555555556,102e3,115786.56130042803,89e3,87400,85800,85e3,85e3,FALSE
CW10,O,2015,6,847200,343100,1316506.8628761491,159250,15e4,140500,131e3,121500,FALSE
CW10,O,2016,11,360034.54545454547,299450,229758.3809728662,250190,225380,143590,61800,33400,FALSE
CW10,S,2015,90,142381.35555555555,139750,47416.13555621802,124421.25,118596,107850,104300.00000000001,87250.20000000001,FALSE
CW10,S,2016,97,150788.55670103093,142500,54847.06356067317,127500,124199,118400,109570,99990,FALSE
CW10,T,2015,86,133136.77906976745,114462.5,69865.11953343531,87917,87556,86875,8e4,74250,FALSE
CW10,T,2016,73,127552.53424657535,116500,69930.05395335364,1e5,98400,89e3,81800,74e3,FALSE
CW11,D,2015,250,267909.636,245e3,100367.44834007035,200250,190796,182700,170562.5,156972.75,FALSE
CW11,D,2016,272,281944.1580882353,254558,99710.5159720765,21e4,205e3,192998.25,176250,164550,FALSE
CW11,F,2015,18,97994.16666666667,99975,19664.625469429648,94e3,86200,76612.5,70275,65750,FALSE
CW11,F,2016,65,147055.26153846155,145280,36804.54191115417,125242,125242,125242,116980,101500,FALSE
CW11,O,2015,12,447666.6666666667,412500,312504.3514848548,182750,162400,149750,141500,95e3,FALSE
CW11,O,2016,18,300699.55555555556,212500,221348.89817401321,119493.75,106e3,97750,95e3,82487.45000000001,FALSE
CW11,S,2015,185,179766.62702702702,16e4,89984.68867998023,141e3,139400,136e3,130487,122400,FALSE
CW11,S,2016,183,185700.61202185793,173026,54610.821297808485,15e4,146700,140300,135e3,125e3,FALSE
CW11,T,2015,141,147920.18439716313,133500,62575.701371173825,115e3,11e4,1e5,94500,72525,FALSE
CW11,T,2016,167,150415.3892215569,143e3,87450.59465432918,113500,103800,82800,50400.000000000015,10039,FALSE
CW12,D,2015,226,303919.110619469,271500,138251.47419382364,222500,21e4,197875,185500,164962.5,FALSE
CW12,D,2016,200,311792.25,279975,129380.56460467554,226500,213200,204850,192950,176900,FALSE
CW12,F,2015,49,123189.1836734694,115e3,56354.98941186481,86e3,85e3,82100,73300,51900,FALSE
CW12,F,2016,51,116825.37254901961,123e3,30933.02080105387,94500,85e3,81250,72500,69247.5,FALSE
CW12,O,2015,15,377808.8,125e3,588060.4990163123,77500,63888.80000000002,24999.600000000006,19444,19444,FALSE
CW12,O,2016,19,517950.3157894737,357600,480824.573250884,123500,114200,107022.2,91459.2,82999.99999999999,FALSE
CW12,S,2015,201,178774.94029850746,163e3,80912.86583459035,138500,127e3,122e3,108e3,9e4,FALSE
CW12,S,2016,162,171353.5185185185,163775,58989.05479656019,135e3,129960,12e4,113e3,9e4,FALSE
CW12,T,2015,125,131274.08,116e3,56272.54161016492,89950,87800,82010,77700,70600,FALSE
CW12,T,2016,127,142379.37007874015,13e4,61275.22078590949,99e3,95e3,89180,85600,76e3,FALSE
CW2,D,2015,264,251005.57575757575,22e4,104114.15973605882,184712.5,175e3,167500,16e4,145e3,FALSE
CW2,D,2016,268,270298.1529850746,235497.5,111698.15787765326,197995,19e4,180675,171050,150700,FALSE
CW2,F,2015,23,106808.69565217392,9e4,57432.426009287236,72750,66800,63900,53400,43350,FALSE
CW2,F,2016,25,95196,96500,37844.39060151451,64e3,61700,55900,49900,45700,FALSE
CW2,O,2015,5,577e3,225e3,595216.3472217476,205e3,201e3,197e3,193e3,189e3,FALSE
CW2,O,2016,18,479649.94444444444,182500,828216.6661782108,105e3,1e5,88075,58950.00000000001,22000.000000000004,FALSE
CW2,S,2015,282,141220.4184397163,136250,43895.56543294981,115e3,11e4,104075,93100,85e3,FALSE
CW2,S,2016,290,146673.0275862069,14e4,43598.27943518619,12e4,113750,108700,100900,87500,FALSE
CW2,T,2015,198,98193.57070707071,9e4,30945.581161514954,77062.5,75e3,69775,66e3,58850.00000000001,FALSE
CW2,T,2016,220,101859.40454545454,95500,31966.33989836334,78e3,76e3,73212.5,69900,62450,FALSE
CW3,D,2015,65,324392.3076923077,295e3,116996.94481546879,24e4,220600,21e4,19e4,174800,FALSE
CW3,D,2016,83,340080.1204819277,3e5,149797.81148466442,249500,215200,2e5,178000.00000000003,153e3,FALSE
CW3,F,2015,7,85357.14285714286,82e3,25032.835579351715,67e3,61600.00000000001,57950,57800,57650,FALSE
CW3,F,2016,6,112166.66666666667,104e3,35768.23544245182,91500,9e4,87500,85e3,82500,FALSE
CW3,O,2015,1,3e5,3e5,NA,3e5,3e5,3e5,3e5,3e5,FALSE
CW3,O,2016,5,509099.2,5e5,312011.18121503276,4e5,33e4,260000.00000000003,189999.99999999997,119999.99999999999,FALSE
CW3,S,2015,33,159094.24242424243,156500,45711.57368697116,132500,128200,117500,107100,94600,FALSE
CW3,S,2016,38,187892.1052631579,165e3,77851.40256883344,128250,120200,110275,108550,102750,FALSE
CW3,T,2015,29,171048.27586206896,157500,77944.36830517398,12e4,112400,101700,98700,96e3,FALSE
CW3,T,2016,28,180614.10714285713,156e3,99507.98729390718,110125,103e3,1e5,92538.5,86278.25,FALSE
CW4,D,2015,129,358551.16279069765,32e4,138950.51735087155,273e3,252900,248e3,23e4,216200,FALSE
CW4,D,2016,118,412325.8474576271,382855,280886.8008991543,280500,275e3,264977.5,248500,229992.5,FALSE
CW4,F,2015,13,103303.84615384616,96e3,29845.577991404785,85e3,79e3,74e3,71e3,62800,FALSE
CW4,F,2016,18,116569.44444444444,115e3,29295.37776675242,95125,90200,86100,82e3,74700,FALSE
CW4,O,2015,3,1586666.6666666667,175e3,2536554.421520132,122500,112e3,101500,91e3,80500,FALSE
CW4,O,2016,8,816400,151250,992191.8204517857,117250,85400.00000000003,53549.999999999985,35350.00000000001,19425.000000000004,FALSE
CW4,S,2015,48,217001.25,199995,69394.25885643598,181500,179550,172730,160700,126717.5,FALSE
CW4,S,2016,67,241020.2985074627,226500,71133.78784119974,191250,188400,18e4,175e3,152150,FALSE
CW4,T,2015,32,173426.875,155e3,123323.36202262942,93600,92e3,88400,88400,88400,FALSE
CW4,T,2016,21,212188.09523809524,189e3,96867.13439650455,172e3,167e3,156500,125e3,66250,FALSE
CW5,D,2015,232,328739.0732758621,309997.5,113741.88769371118,265e3,25e4,237325,222200,197750,FALSE
CW5,D,2016,239,346180.49372384936,32e4,139102.3166429513,261747.5,25e4,236400,22e4,205e3,FALSE
CW5,F,2015,91,131966.15384615384,124e3,55052.43247263327,105e3,98e3,91250,84e3,57e3,FALSE
CW5,F,2016,82,132984.75609756098,118e3,52502.91508016565,105250,103400,98300,92650,80100,FALSE
CW5,O,2015,13,1950368,615e3,4665175.783375727,249950,236180,216600,185400,153800,FALSE
CW5,O,2016,28,389182.9285714286,316500,295099.0755758113,183750,147e3,92749.99999999999,70440,37e3,FALSE
CW5,S,2015,154,210265.64935064936,176250,146998.60771949854,159625,155e3,15e4,145e3,132600,FALSE
CW5,S,2016,176,204738.50568181818,193e3,63199.057666844295,17e4,164e3,152625,144750,131750,FALSE
CW5,T,2015,175,178101.88571428572,17e4,77469.35751755185,125e3,119800,112550,109400,99550,FALSE
CW5,T,2016,190,191191.2210526316,18e4,77992.44293186345,147500,139800,131175,124750,115e3,FALSE
CW6,D,2015,153,454823.54901960783,425e3,207426.57891284346,315e3,295e3,274199,241000.00000000003,225e3,FALSE
CW6,D,2016,152,454924.40789473685,425e3,193139.84456083845,328e3,318e3,277196.75,242450.00000000003,197750,FALSE
CW6,F,2015,5,312400,23e4,219251.68186356063,145e3,14e4,135e3,13e4,125e3,FALSE
CW6,F,2016,5,166199,147500,71228.00014741394,124995,122996,120997,118998,116999,FALSE
CW6,O,2015,8,286738.5,26e4,78811.72266502345,23e4,23e4,23e4,221e3,210500,FALSE
CW6,O,2016,11,423102,43e4,202374.4091628188,332861,290722,254861,219e3,112450,FALSE
CW6,S,2015,79,236726.35443037975,234995,95358.09143192535,178500,166000.00000000003,155e3,139916.6,70098.70000000001,FALSE
CW6,S,2016,81,246008.64197530865,236995,87087.61527196456,192e3,185e3,17e4,161e3,127500,FALSE
CW6,T,2015,39,186518.35897435897,187500,129036.81765977679,68459.5,56236,49933,49933,49933,FALSE
CW6,T,2016,31,252819.1935483871,199495,158671.7241776071,134750,134500,126e3,121e3,11e4,FALSE
CW7,D,2015,211,198951.89099526068,19e4,68724.39604531147,161500,155e3,15e4,14e4,13e4,FALSE
CW7,D,2016,207,218159.03381642513,201500,82235.44412343416,172e3,165200,158e3,146600,127800,FALSE
CW7,F,2015,16,80482.8125,70750,32644.72484025303,65250,63e3,59418.75,54612.5,47500,FALSE
CW7,F,2016,10,86044.9,70975,45089.873636376986,65499.75,62399.99999999999,56550,51900,51450,FALSE
CW7,O,2015,8,1652469.625,798350,1991493.1102610235,318750,31e4,301250,247800.00000000003,186900,FALSE
CW7,O,2016,13,1266743.1538461538,503495,1812321.893232309,255e3,24e4,197399.99999999997,99600.00000000003,53120.8,FALSE
CW7,S,2015,169,124238.60946745562,12e4,30127.93202963474,106500,105e3,101e3,97800,93e3,FALSE
CW7,S,2016,189,139891.9841269841,13e4,45552.103988995004,11e4,105800,103e3,93280,89e3,FALSE
CW7,T,2015,135,104848.74074074074,97500,46120.37149741044,82e3,77300,75e3,67400,60700,FALSE
CW7,T,2016,108,106184.9074074074,99e3,55168.44812646931,8e4,72600,7e4,63850,61350,FALSE
CW8,D,2015,332,323015.6415662651,284497.5,144874.79701536335,229750,215379,205e3,185e3,165e3,FALSE
CW8,D,2016,388,351807.4639175258,310737.5,168158.5363466705,249995,236100,219995.25,201750,175e3,FALSE
CW8,F,2015,48,97353.64583333333,87e3,32692.047145008703,73e3,7e4,67625,62550,58050,FALSE
CW8,F,2016,44,129791.22727272728,111e3,72112.05663792843,83125,8e4,74450,70600,63200,FALSE
CW8,O,2015,6,375250,293e3,291208.1300376073,165250,125e3,122625,120250,117875,FALSE
CW8,O,2016,13,522843.76923076925,475e3,468678.567411994,172e3,141520,111960,84240,69600,FALSE
CW8,S,2015,204,179707.46078431373,156e3,90879.90602225675,13e4,125e3,117225,11e4,95075,FALSE
CW8,S,2016,274,171708.82481751824,157250,84342.3485982463,127083.25,12e4,109900,1e5,61500,FALSE
CW8,T,2015,246,139713.41463414635,129e3,51545.42333181432,102125,96250,91875,9e4,8e4,FALSE
CW8,T,2016,235,131525.12765957447,116e3,72015.74962975648,93957,88900,83050,7e4,24e3,FALSE
CW9,D,2015,221,284246.52036199096,255e3,127869.48108405409,215e3,209995,2e5,18e4,165500,FALSE
CW9,D,2016,243,307200.99588477367,27e4,242042.28575128477,217250,209997,201599.5,187590,170200,FALSE
CW9,F,2015,124,144298.09677419355,124568,69618.57173097189,99950,93600,88877.5,79250,66575,FALSE
CW9,F,2016,78,114462.3717948718,106500,46799.1263413594,82062.5,79700,76275,70700,56999.99999999999,FALSE
CW9,O,2015,14,474744.5,372e3,356132.6653003927,271170.25,240936.2,195629.80000000002,138817.19999999998,102937.4,FALSE
CW9,O,2016,23,2013785.3043478262,16e4,6895380.414924628,12e4,99000.00000000001,81500,64000.00000000001,11503.500000000004,FALSE
CW9,S,2015,221,166968.19909502263,155e3,72554.9987077903,125e3,116e3,107e3,1e5,9e4,FALSE
CW9,S,2016,229,176446.5327510917,162500,68093.34529188217,135e3,125600,122100,11e4,98500,FALSE
CW9,T,2015,163,133819.38650306748,11e4,71797.23877366408,9e4,85e3,81450,77500,65650,FALSE
CW9,T,2016,164,125508.07926829268,117250,48997.83655672031,92500,87300,82725,75300,65700,FALSE
CW98,D,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CW98,D,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CW98,F,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CW98,F,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CW98,O,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CW98,O,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CW98,S,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CW98,S,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CW98,T,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CW98,T,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
DA1,D,2015,57,371454.8245614035,345e3,97438.60166592873,301500,290796,283800,279198,264300,FALSE
DA1,D,2016,69,420053.1884057971,393950,115349.12941731128,35e4,336800,325e3,318600,287195,FALSE
DA1,F,2015,408,162739.9387254902,165997.5,32383.209468227,139995,134400,125e3,12e4,106537.5,FALSE
DA1,F,2016,489,190968.5501022495,195995,40921.45027459151,166995,157900,15e4,135900,112e3,FALSE
DA1,O,2015,32,1030098.8125,578500,1491955.4231919162,208750,195800,120274.99999999999,110150,25019.999999999993,FALSE
DA1,O,2016,30,672873.3333333334,455781,963396.2760719669,236250,191600.00000000006,129550,68250,37950.00000000001,FALSE
DA1,S,2015,267,295602.5842696629,291500,66624.01330270941,253500,243199,23e4,216300,207450,FALSE
DA1,S,2016,288,337003.8576388889,33e4,60306.57451424085,299950,289997,276952.5,264663.5,25e4,FALSE
DA1,T,2015,523,251031.19885277248,247e3,49433.586141014974,22e4,211600,205995,196800,18e4,FALSE
DA1,T,2016,636,289761.4779874214,288e3,46394.254480021504,26e4,253950,248500,235e3,217500,FALSE
DA10,D,2015,33,388904.69696969696,374995,50298.51234037944,352995,351195,344999,344995,325795,FALSE
DA10,D,2016,35,444410,439995,66761.40071178855,405995,396996,380495.5,374997,357396.5,FALSE
DA10,F,2015,15,125566.66666666667,125e3,14724.695808968912,116500,112800,112100,109600,107700,FALSE
DA10,F,2016,10,152e3,149250,40749.233121618374,134375,131600,129575,124100,106550,FALSE
DA10,O,2015,1,5665e3,5665e3,NA,5665e3,5665e3,5665e3,5665e3,5665e3,FALSE
DA10,O,2016,1,143e3,143e3,NA,143e3,143e3,143e3,143e3,143e3,FALSE
DA10,S,2015,32,287377.96875,302495,48795.40201533031,256e3,238e3,228250,220500,203800,FALSE
DA10,S,2016,44,339200,354995,58462.48116089816,318745,304195,291300,280100,233e3,FALSE
DA10,T,2015,67,211708.26865671642,2e5,48455.72762141406,180497.5,175e3,167012,158200,146500,FALSE
DA10,T,2016,86,257618.02325581395,246850,55650.897388668935,217750,215e3,209375,201e3,19e4,FALSE
DA11,D,2015,40,338749.875,305e3,129763.33363872576,243750,238800,221900,208800,194875,FALSE
DA11,D,2016,49,415295.89795918367,395e3,156095.18929276307,3e5,289600,263600,235e3,214e3,FALSE
DA11,F,2015,190,141840.85263157895,144497.5,34224.867880820944,115e3,108200.00000000001,103e3,97303.3,84450,FALSE
DA11,F,2016,160,159424.65,16e4,39882.44543028137,135e3,131800,117550,106800,94850,FALSE
DA11,O,2015,12,1959262.75,71e4,3477450.587580953,261250,253e3,215e3,160000.00000000003,82950,FALSE
DA11,O,2016,20,777964.3,255200,1813227.534441195,12e4,12e4,12e4,12e4,114050.00000000001,FALSE
DA11,S,2015,112,264762.6785714286,249997.5,72768.54239697561,22e4,215e3,210575,190499.5,179977.5,FALSE
DA11,S,2016,98,314966.7346938776,283500,92918.24940908258,26e4,25e4,240525,234100,207e3,FALSE
DA11,T,2015,274,211911.10583941606,205e3,43033.03480439111,182250,177300,17e4,165150,154300,FALSE
DA11,T,2016,233,254886.1373390558,245e3,57367.302115989936,218500,21e4,201900,195e3,176800,FALSE
DA12,D,2015,71,444050.5633802817,4e5,179881.31636988814,315e3,3e5,291500,27e4,217500,FALSE
DA12,D,2016,59,428971.74576271186,405e3,158488.72075439716,325e3,316e3,296250,234800,219500,FALSE
DA12,F,2015,112,135671.11607142858,13e4,37725.04264028911,11e4,105044,98825,9e4,80200,FALSE
DA12,F,2016,160,157848.375,159e3,36161.48217723821,136125,127500,12e4,105e3,99999.75,FALSE
DA12,O,2015,7,342650.5714285714,124750,527531.054095983,101500,96400,86099.99999999999,65400.00000000001,44700,FALSE
DA12,O,2016,18,547061.5555555555,285e3,924534.7606073028,156250,133e3,76849.99999999997,16350.000000000002,10775.000000000002,FALSE
DA12,S,2015,181,265427.01657458564,257e3,80247.55278161829,225350,215e3,202e3,185e3,174e3,FALSE
DA12,S,2016,196,311418.5714285714,295e3,82716.55379389583,267500,26e4,249248.75,24e4,224250,FALSE
DA12,T,2015,316,215140.75,21e4,44950.854225378964,188e3,183300,178250,167e3,149995,FALSE
DA12,T,2016,269,253792.14498141265,25e4,68068.83777622852,22e4,213800,21e4,198700,177e3,FALSE
DA13,D,2015,103,501750.4368932039,494e3,145159.1518396186,41e4,395e3,351500,325e3,295500,FALSE
DA13,D,2016,106,566456.6037735849,541250,177687.4859697794,439375,422e3,4e5,365e3,326625,FALSE
DA13,F,2015,6,150833.33333333334,15e4,14634.434279010127,138750,135e3,135e3,135e3,135e3,FALSE
DA13,F,2016,1,151e3,151e3,NA,151e3,151e3,151e3,151e3,151e3,FALSE
DA13,O,2015,2,1107500,1107500,1085408.9091213504,723750,647e3,570249.9999999999,493500.0000000001,416750.0000000001,FALSE
DA13,O,2016,6,472083.3333333333,422500,404638.9028092413,162875,85500,66625,47750,28875,FALSE
DA13,S,2015,74,343533.9459459459,324500,131874.52198351506,295750,288e3,28e4,266500,25e4,FALSE
DA13,S,2016,59,404922.7966101695,379e3,123178.69349903957,345e3,334e3,325500,300800,292200,FALSE
DA13,T,2015,46,250759.65217391305,25e4,41318.098601093225,221250,216e3,203750,196250,190250,FALSE
DA13,T,2016,54,301699.22222222225,270025,81765.07472012375,242750,238800,229649.99999999997,210250,202275,FALSE
DA14,D,2015,28,636077.7142857143,48e4,287481.19166379195,428750,425e3,425e3,398500,347650,FALSE
DA14,D,2016,30,689733.3333333334,6e5,259793.14494597338,453750,434e3,426750,424e3,406750,FALSE
DA14,F,2015,196,214608.92857142858,215750,54288.901801806176,18e4,175e3,160875,141500,125e3,FALSE
DA14,F,2016,208,250267.4951923077,253e3,74555.52953394492,21e4,196600,175249.99999999997,145e3,123293.75,FALSE
DA14,O,2015,9,6805959.333333333,16e5,9840688.117481673,14e5,1328e3,1256e3,1071e3,773e3,FALSE
DA14,O,2016,9,279944.3333333333,232800,243728.91680922886,35200,23520.000000000004,11840.000000000005,5200,3600,FALSE
DA14,S,2015,119,407625.33613445377,379995,101801.22532172537,34e4,325600,32e4,3e5,28e4,FALSE
DA14,S,2016,113,458117.1504424779,445e3,122667.85698025767,382e3,369997,354250.6,335e3,269980,FALSE
DA14,T,2015,99,313905.3939393939,303500,81048.00108550163,265e3,253e3,245e3,239799,224700,FALSE
DA14,T,2016,61,349981.1475409836,345e3,68399.25691843835,307e3,3e5,28e4,276e3,255e3,FALSE
DA15,D,2015,38,606651.3157894737,56e4,297470.56145214493,417500,392e3,374950,352750,299550,FALSE
DA15,D,2016,36,647527.6388888889,582500,225308.91476398136,468750,46e4,395e3,364997.5,354500,FALSE
DA15,F,2015,89,191778.48314606742,19e4,48910.131859618625,163500,155800,141e3,131800,108800,FALSE
DA15,F,2016,112,242135.89285714287,242e3,52855.241914537415,214250,201e3,183250,175e3,157750,FALSE
DA15,O,2015,4,1254e3,395e3,1857035.4511065928,302750,280400,258050,235700,213350,FALSE
DA15,O,2016,7,326065.71428571426,3e5,164172.70447683468,192480,186192,178799.99999999997,169200,159600,FALSE
DA15,S,2015,139,398901.1007194245,39e4,96359.68307278896,336e3,324200,316600,28e4,264999.5,FALSE
DA15,S,2016,131,435133.58778625954,425e3,89312.00333720936,365e3,36e4,35e4,335e3,305e3,FALSE
DA15,T,2015,197,316698.09137055837,298e3,65448.06808931996,275e3,27e4,267e3,259999.6,249200,FALSE
DA15,T,2016,204,346796.2745098039,335100,59313.01655081935,314062.5,305e3,297450,29e4,265750,FALSE
DA16,D,2015,23,369598,34e4,98566.51404785225,306500,291500,277250,267607.2,251575.9,FALSE
DA16,D,2016,30,535413.8333333334,572495,109806.65809286333,436250,41e4,400250,382250,377250,FALSE
DA16,F,2015,87,197405.4712643678,195e3,45883.14356610591,175e3,165e3,15e4,135600,118250,FALSE
DA16,F,2016,97,224001.45360824742,23e4,52454.58351894773,19e4,185200,18e4,142997,119880,FALSE
DA16,O,2015,6,206150.66666666666,238e3,163263.21220246362,69055,16740,16305,15870,15435,FALSE
DA16,O,2016,18,2327786.9444444445,321916.5,7257057.879613575,32e3,24000.000000000004,2e4,2e4,19749.8,FALSE
DA16,S,2015,249,336008.1967871486,33e4,54651.13174393162,299e3,29e4,285e3,27e4,261600,FALSE
DA16,S,2016,248,388081.5282258064,38e4,66656.78457657757,34e4,332e3,328e3,316400,301750,FALSE
DA16,T,2015,177,319089.66101694916,31e4,60635.522881490106,282500,275e3,27e4,255450,24e4,FALSE
DA16,T,2016,161,360220.7453416149,36e4,58186.10820089271,325e3,315e3,3e5,29e4,28e4,FALSE
DA17,D,2015,16,330781.1875,335500,49412.98475666594,293875,290500,286375,272500,257499.75,FALSE
DA17,D,2016,9,393555.55555555556,365e3,81830.78746888471,34e4,338800,337600,329600,314800,FALSE
DA17,F,2015,285,165598.94736842104,164995,25629.89124972192,149e3,144799,138797,134995,128400,FALSE
DA17,F,2016,119,212917.8151260504,22e4,38848.43617273708,184875,18e4,171300,162e3,144950,FALSE
DA17,O,2015,11,4549818.181818182,79e4,12391363.458620539,227500,21e4,205e3,2e5,137500,FALSE
DA17,O,2016,7,1155642.857142857,275e3,1976901.9262954032,245e3,242e3,232700,210800,188900,FALSE
DA17,S,2015,68,283637.9411764706,28e4,60188.95076511505,25e4,25e4,240250,224850,182525,FALSE
DA17,S,2016,51,337499.4117647059,33e4,68171.36937635226,302750,297e3,292495,285e3,251500,FALSE
DA17,T,2015,122,249075.09836065574,248450,45064.24934558607,223e3,217500,212120,192500,182045.25,FALSE
DA17,T,2016,139,298014.1726618705,3e5,37545.58787118881,284e3,28e4,275e3,262396,216795.5,FALSE
DA18,D,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
DA18,D,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
DA18,F,2015,5,139800,135e3,41996.4284195692,103e3,101600,100200,98800,97400,FALSE
DA18,F,2016,5,154700,166e3,22140.460699813815,142e3,138e3,134e3,13e4,126e3,FALSE
DA18,O,2015,1,175e3,175e3,NA,175e3,175e3,175e3,175e3,175e3,FALSE
DA18,O,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
DA18,S,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
DA18,S,2016,1,3e5,3e5,NA,3e5,3e5,3e5,3e5,3e5,FALSE
DA18,T,2015,20,222650,216750,52434.445287726456,183750,178400,171700,168500,154e3,FALSE
DA18,T,2016,14,237357.14285714287,216e3,57710.960354641,19e4,19e4,189750,186500,181500,FALSE
DA2,D,2015,75,537491.8,475e3,213721.7774028731,377500,369e3,350500,339800,289400,FALSE
DA2,D,2016,58,586393.9655172414,55e4,227968.5077661421,426250,401e3,377750,368650,328425,FALSE
DA2,F,2015,90,198192.72222222222,187500,80313.58771015667,132e3,127400,125e3,116950,107250,FALSE
