outcde,prop_typ,year,N,avg_price,median,sd,q25,q20,q15,q10,q05,scottish
AL4,T,2015,101,370449.54455445544,35e4,106248.88441621632,302e3,295e3,285e3,245e3,22e4,FALSE
AL4,T,2016,96,389280.15625,376250,91143.64257199247,329375,32e4,310500,295e3,257750,FALSE
AL5,D,2015,229,1172983.3973799127,98e4,606231.0466678556,78e4,716e3,672e3,62e4,542e3,FALSE
AL5,D,2016,184,1135557.6032608696,1e6,568325.395076436,78e4,705e3,634500,560900,541500,FALSE
AL5,F,2015,147,370579.04761904763,3e5,256874.309843004,226050,202e3,185e3,173e3,143600,FALSE
AL5,F,2016,140,398291.46428571426,325e3,267103.0214959481,259462.5,249500,22e4,2e5,184747.5,FALSE
AL5,O,2015,12,751000.8333333334,572500,805603.8527990646,432500,394e3,31e4,2e5,135e3,FALSE
AL5,O,2016,19,753820.3157894737,315e3,800951.1742073401,242500,137999.9999999999,11999.999999999998,4229.999999999999,1085,FALSE
AL5,S,2015,129,671454.1782945737,64e4,244734.5977244549,486500,47e4,445e3,408200,365e3,FALSE
AL5,S,2016,159,677399.6037735849,65e4,198068.8081767475,532250,501350,48e4,459e3,425e3,FALSE
AL5,T,2015,89,467992.6629213483,439e3,127588.53741608608,375e3,373e3,36e4,35e4,323600,FALSE
AL5,T,2016,100,503270.59,471250,162932.94393106116,42e4,414e3,4e5,379500,349e3,FALSE
AL6,D,2015,120,763308.4,697500,287974.2451566976,589500,552e3,513500,473500,402850,FALSE
AL6,D,2016,132,835015.1136363636,827500,222258.322642293,696e3,646e3,598250,575250,512750,FALSE
AL6,F,2015,56,217817.85714285713,206250,53058.5614962557,179987.5,177950,169950,167500,163125,FALSE
AL6,F,2016,23,299003.26086956525,289950,108662.12340437231,254975,248780,231900,224200,208700,FALSE
AL6,O,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
AL6,O,2016,5,676e3,735e3,699369.358779751,3e4,27e3,24000.000000000004,21e3,18e3,FALSE
AL6,S,2015,35,491442.71428571426,479995,130352.51979413621,377500,374600,365800,351e3,332e3,FALSE
AL6,S,2016,39,551448.717948718,525e3,169748.9165484296,412500,401800,388200,370000.00000000006,337e3,FALSE
AL6,T,2015,30,472050,44e4,180040.5294409548,357750,339e3,318750,304500,297250,FALSE
AL6,T,2016,25,511498.8,485e3,123464.98375281687,385e3,385e3,375e3,353997,345999,FALSE
AL7,D,2015,40,456758.75,455e3,68394.02141316229,424875,395e3,389250,369e3,358e3,FALSE
AL7,D,2016,43,497982.25581395347,49e4,83223.8678448199,442500,422e3,42e4,405e3,372e3,FALSE
AL7,F,2015,143,188597.75524475524,19e4,38082.16103211966,16e4,157500,154965,145e3,121250.00000000001,FALSE
AL7,F,2016,146,215219.2808219178,223375,46450.15490486671,187e3,18e4,166842.5,157500,121250,FALSE
AL7,O,2015,11,2778041.8181818184,3e5,5255726.360384106,23e4,17e4,120730,71460,65730,FALSE
AL7,O,2016,24,2290014.7916666665,39e4,7049355.106168204,198750,15e4,141750,117500,57300.00000000003,FALSE
AL7,S,2015,98,340071.71428571426,328250,66356.78045094135,288487.5,280800,276375,273465,249250,FALSE
AL7,S,2016,78,396429.6282051282,395e3,75159.30414915142,335e3,330800,324550,312700,288500,FALSE
AL7,T,2015,249,300544.0481927711,295e3,60998.721174902304,269e3,250600,249190,23e4,197600,FALSE
AL7,T,2016,237,343337.67088607594,341700,55334.57537203199,31e4,305e3,295e3,288e3,271600,FALSE
AL8,D,2015,35,640015.7142857143,637e3,201827.8418863567,46e4,447200,435900,430400,386550,FALSE
AL8,D,2016,31,781145.1612903225,74e4,288176.4850905427,629250,61e4,564e3,5e5,47e4,FALSE
AL8,F,2015,53,249061.54716981133,23e4,73798.55045052507,205e3,199950,194700,183626,162600,FALSE
AL8,F,2016,48,255766.54166666666,233500,86188.35850845058,209987.5,206200,203100,190500,168625,FALSE
AL8,O,2015,4,1322750,395e3,2142788.7397812535,52750,42400.00000000001,32049.999999999996,21700.000000000004,11349.999999999995,FALSE
AL8,O,2016,2,201063,201063,36858.648076129975,188031.5,185425.19999999998,182818.90000000002,180212.59999999998,177606.30000000002,FALSE
AL8,S,2015,43,515706.83720930235,535e3,117775.5320857941,422500,408400,382600,354400,330700,FALSE
AL8,S,2016,62,529526.6129032258,544300,138992.509076292,411025,386e3,353270,345e3,332150,FALSE
AL8,T,2015,64,349622.5625,33e4,77527.99387356495,298746.25,291200,283625,27e4,252665,FALSE
AL8,T,2016,66,410699.74242424243,38e4,107027.73128095362,343875,331e3,32e4,301e3,278625,FALSE
AL9,D,2015,52,994475.9615384615,745e3,929164.2364950398,56e4,526070,511500,500500,485500,FALSE
AL9,D,2016,60,1074663.3333333333,955e3,612242.6433984162,699e3,643500,587200,514950,463997.5,FALSE
AL9,F,2015,51,220894.11764705883,232950,26239.45435228946,209e3,195e3,191750,184e3,165e3,FALSE
AL9,F,2016,35,324017.14285714284,325e3,106087.68012332807,285e3,237550.00000000003,205675,194e3,179300,FALSE
AL9,O,2015,3,673333.3333333334,67e4,25166.114784235833,66e4,658e3,656e3,654e3,652e3,FALSE
AL9,O,2016,8,3102613.125,2290747,3209461.9231395624,267500,152000.00000000012,36499.99999999994,18350,16425,FALSE
AL9,S,2015,50,483179,45e4,146817.89361905004,371250,35e4,346750,319800,307250,FALSE
AL9,S,2016,39,533633.3333333334,48e4,182047.7992947736,378750,376700,375e3,355e3,329500,FALSE
