outcode,property_type,n,avg_price,sd,q05,q10,q15,q20,q25,q50,q75
CR8,O,20,863032.2,966590.1364122938,4950.0,64400.00000000002,138150.0,206000.00000000003,242500.0,572500.0,870312.5
CR8,S,240,473389.8125,127281.67748695634,292850.0,324920.0,349950.0,369600.0,385e3,462250.0,55e4
CR8,T,161,364394.8695652174,82220.43427002581,254e3,272500.0,29e4,313500.0,322e3,365e3,4e5
CR9,O,8,21116235.25,25236330.117580973,1749224.6,1898449.2000000002,2087538.1999999997,2515813.6000000006,2944089.0,13232500.0,27141394.5
CR9,T,1,51e4,NA,51e4,51e4,51e4,51e4,51e4,51e4,51e4
CT1,D,106,458924.62264150946,198457.3032421861,222500.0,252500.0,265e3,3e5,325500.0,437500.0,529750.0
CT1,F,431,207709.72853828306,79640.79878828088,98750.0,12e4,14e4,152e3,161250.0,2e5,232250.0
CT1,O,51,1033398.7058823529,1901700.1621851672,15625.0,32500.0,37500.0,65e3,71500.0,26e4,95e4
CT1,S,206,263061.7961165049,84301.21183306965,165e3,171250.0,180750.0,191e3,207750.0,246750.0,299998.75
CT1,T,361,275466.4709141274,114178.49864614938,165e3,18e4,198e3,207800.0,217500.0,247e3,3e5
CT10,D,394,389749.8781725888,160513.42010814743,24e4,25e4,265e3,28e4,29e4,351500.0,439500.0
CT10,F,275,174322.42545454545,86503.78603210191,84100.0,95100.0,108200.0,115e3,121893.5,161e3,191500.0
CT10,O,20,635395.0,1267385.6283808474,8e3,9800.0,15950.0,21000.000000000004,65800.0,242500.0,552500.0
CT10,S,357,258529.7142857143,78306.03840924866,164900.0,179080.0,188400.0,195e3,2e5,245e3,281e3
CT10,T,232,217533.0301724138,81801.22667024414,131667.0,143205.0,155e3,163e3,167375.0,195e3,245e3
CT11,D,128,300808.125,108577.52646268888,16e4,195700.0,215012.5,22e4,227875.0,285e3,367625.0
CT11,F,402,128870.6368159204,59213.12629315323,6e4,7e4,79150.0,85e3,9e4,12e4,147950.0
CT11,O,37,472603.9459459459,1326626.4419831762,7799.999999999998,10300.0,11660.0,26199.99999999998,57500.0,132e3,321873.0
